id,kanji,english_meaning,readings_kana,reading_count,introduced_level,compound_count,compound_refs
N5_K001,人,person; human,じん | にん | ひと,3,N5,16,N5_V002 N5_V005 N5_V008 N5_V010 N5_V098 N5_V099 N5_V100 N5_V101 N5_V102 N5_V103 N5_V104 N5_V105 N5_V106 N5_V107 N5_V108 N5_V120
N5_K002,一,one,いち | いつ | ひと | ひとつ,4,N5,12,N5_V042 N5_V071 N5_V082 N5_V092 N5_V098 N5_V181 N5_V184 N5_V193 N5_V208 N5_V210 N5_V212 N5_V213
N5_K003,日,day; sun,にち | じつ | ひ | か,4,N5,29,N5_V001 N5_V002 N5_V003 N5_V048 N5_V049 N5_V050 N5_V055 N5_V070 N5_V071 N5_V072 N5_V073 N5_V074 N5_V075 N5_V076 N5_V077 N5_V078 N5_V079 N5_V080 N5_V081 N5_V162 N5_V163 N5_V164 N5_V165 N5_V166 N5_V167 N5_V168 N5_V169 N5_V198 N5_V207
N5_K004,大,big; large,だい | たい | おお | おおきい | おおいに,5,N5,6,N5_V010 N5_V011 N5_V012 N5_V159 N5_V160 N5_V187
N5_K005,年,year,ねん | とし,2,N5,11,N5_V058 N5_V065 N5_V066 N5_V067 N5_V068 N5_V095 N5_V121 N5_V122 N5_V197 N5_V212 N5_V213
N5_K006,出,exit; go out; come out,しゅつ | でる | だす,3,N5,2,N5_V124 N5_V125
N5_K007,本,book; origin; main,ほん | もと,2,N5,4,N5_V001 N5_V002 N5_V003 N5_V194
N5_K008,中,middle; inside,ちゅう | なか,2,N5,5,N5_V007 N5_V008 N5_V009 N5_V017 N5_V018
N5_K009,子,child,し | す | こ,3,N5,4,N5_V109 N5_V110 N5_V111 N5_V112
N5_K010,見,see; look,けん | みる | みえる | みせる,4,N5,1,N5_V203
N5_K011,国,country,こく | くに,2,N5,7,N5_V004 N5_V005 N5_V006 N5_V007 N5_V008 N5_V009 N5_V201
N5_K012,上,up; above; top,じょう | うえ | かみ | あげる | あがる | のぼる | のぼせる | のぼす,8,N5,2,N5_V121 N5_V191
N5_K013,分,part; minute; divide; understand,ぶん | ふん | ぶ | わける | わかれる | わかる | わかつ,7,N5,3,N5_V097 N5_V183 N5_V186
N5_K014,生,life; birth; live,せい | しょう | いきる | いかす | いける | うまれる | うむ | おう | はえる | はやす | き | なま,12,N5,8,N5_V012 N5_V013 N5_V016 N5_V018 N5_V020 N5_V021 N5_V023 N5_V198
N5_K015,行,go; carry out; line,こう | ぎょう | いく | ゆく | おこなう,5,N5,2,N5_V132 N5_V139
N5_K016,二,two,に | ふた | ふたつ,3,N5,7,N5_V043 N5_V072 N5_V083 N5_V093 N5_V099 N5_V209 N5_V211
N5_K017,間,interval; between; space,かん | けん | あいだ | ま,4,N5,6,N5_V041 N5_V042 N5_V043 N5_V044 N5_V208 N5_V209
N5_K018,時,time; hour,じ | とき,2,N5,5,N5_V041 N5_V042 N5_V043 N5_V044 N5_V096
N5_K019,気,spirit; feeling; air,き | け,2,N5,4,N5_V152 N5_V156 N5_V157 N5_V158
N5_K020,十,ten,じゅう | じっ | とお | と,4,N5,5,N5_V080 N5_V091 N5_V092 N5_V093 N5_V107
N5_K021,女,woman; female,じょ | にょ | おんな | め,4,N5,3,N5_V109 N5_V111 N5_V113
N5_K022,三,three,さん | み | みつ | みっつ,4,N5,3,N5_V073 N5_V084 N5_V100
N5_K023,前,front; before,ぜん | まえ,2,N5,4,N5_V032 N5_V045 N5_V126 N5_V212
N5_K024,入,enter; put in,にゅう | いる | いれる | はいる,4,N5,3,N5_V024 N5_V123 N5_V125
N5_K025,小,small,しょう | ちいさい | こ | お,4,N5,3,N5_V015 N5_V016 N5_V205
N5_K026,後,after; behind,ご | こう | のち | うしろ | あと | おくれる,6,N5,2,N5_V046 N5_V213
N5_K027,長,long; leader; chief,ちょう | ながい,2,N5,1,N5_V022
N5_K028,下,down; below,か | げ | した | しも | もと | さげる | さがる | くだる | くだす | くださる | おろす | おりる,12,N5,3,N5_V122 N5_V155 N5_V192
N5_K029,学,study; learning,がく | まなぶ,2,N5,12,N5_V011 N5_V012 N5_V013 N5_V014 N5_V015 N5_V016 N5_V017 N5_V018 N5_V023 N5_V024 N5_V202 N5_V203
N5_K030,月,month; moon,げつ | がつ | つき,3,N5,21,N5_V057 N5_V062 N5_V063 N5_V064 N5_V069 N5_V082 N5_V083 N5_V084 N5_V085 N5_V086 N5_V087 N5_V088 N5_V089 N5_V090 N5_V091 N5_V092 N5_V093 N5_V094 N5_V168 N5_V210 N5_V211
N5_K031,何,what; how many,か | なに,2,N5,7,N5_V081 N5_V094 N5_V095 N5_V096 N5_V097 N5_V108 N5_V169
N5_K032,来,come; next,らい | くる | きたる | きたす,4,N5,3,N5_V060 N5_V063 N5_V066
N5_K033,話,talk; story; conversation,わ | はなす | はなし,3,N5,3,N5_V035 N5_V036 N5_V037
N5_K034,山,mountain,さん | やま,2,N5,1,N5_V204
N5_K035,高,high; expensive,こう | たかい | たか | たかまる | たかめる,5,N5,2,N5_V019 N5_V020
N5_K036,今,now; present,こん | きん | いま,3,N5,6,N5_V048 N5_V051 N5_V052 N5_V059 N5_V062 N5_V065
N5_K037,書,write; writing; book,しょ | かく,2,N5,3,N5_V029 N5_V030 N5_V031
N5_K038,五,five,ご | いつ | いつつ,3,N5,3,N5_V075 N5_V086 N5_V102
N5_K039,名,name; reputation,めい | みょう | な,3,N5,2,N5_V032 N5_V189
N5_K040,金,gold; money; metal,きん | こん | かね,3,N5,1,N5_V165
N5_K041,男,man; male,だん | なん | おとこ,3,N5,3,N5_V110 N5_V112 N5_V113
N5_K042,外,outside; foreign,がい | げ | そと | ほか | はずす | はずれる,6,N5,3,N5_V004 N5_V005 N5_V006
N5_K043,四,four,し | よ | よつ | よっつ | よん,5,N5,3,N5_V074 N5_V085 N5_V101
N5_K044,先,ahead; previous; earlier,せん | さき,2,N5,3,N5_V021 N5_V061 N5_V064
N5_K045,川,river,せん | かわ,2,N5,1,N5_V205
N5_K046,東,east,とう | ひがし,2,N5,2,N5_V170 N5_V174
N5_K047,聞,hear; listen; ask,ぶん | もん | きく | きこえる,4,N5,1,N5_V038
N5_K048,語,language; word,ご | かたる | かたらう,3,N5,4,N5_V003 N5_V006 N5_V009 N5_V034
N5_K049,九,nine,きゅう | く | ここの | ここのつ,4,N5,3,N5_V079 N5_V090 N5_V106
N5_K050,食,eat; food,しょく | くう | くらう | たべる,4,N5,6,N5_V141 N5_V142 N5_V143 N5_V144 N5_V145 N5_V146
N5_K051,八,eight,はち | や | やつ | やっつ,4,N5,4,N5_V078 N5_V089 N5_V105 N5_V195
N5_K052,水,water,すい | みず,2,N5,1,N5_V163
N5_K053,天,heaven; sky,てん | あめ,2,N5,1,N5_V156
N5_K054,木,tree; wood,ぼく | もく | き,3,N5,1,N5_V164
N5_K055,六,six,ろく | む | むつ | むっつ,4,N5,3,N5_V076 N5_V087 N5_V103
N5_K056,万,ten thousand,まん | ばん,2,N5,3,N5_V181 N5_V182 N5_V197
N5_K057,白,white,はく | びゃく | しろ | しろい,4,N5,1,N5_V206
N5_K058,七,seven,しち | なな | ななつ,3,N5,3,N5_V077 N5_V088 N5_V104
N5_K059,円,yen; circle,えん | まるい,2,N5,4,N5_V179 N5_V180 N5_V181 N5_V182
N5_K060,電,electricity,でん,1,N5,4,N5_V036 N5_V037 N5_V152 N5_V153
N5_K061,父,father,ふ | ちち,2,N5,1,N5_V118
N5_K062,北,north,ほく | きた,2,N5,2,N5_V173 N5_V175
N5_K063,車,car; vehicle,しゃ | くるま,2,N5,2,N5_V153 N5_V154
N5_K064,母,mother,ぼ | はは,2,N5,1,N5_V118
N5_K065,半,half,はん | なかば,2,N5,5,N5_V044 N5_V068 N5_V069 N5_V070 N5_V183
N5_K066,百,hundred,ひゃく,1,N5,3,N5_V179 N5_V182 N5_V195
N5_K067,土,earth; soil,ど | と | つち,3,N5,1,N5_V166
N5_K068,西,west,せい | さい | にし,3,N5,2,N5_V171 N5_V174
N5_K069,読,read,どく | とく | よむ,3,N5,1,N5_V030
N5_K070,千,thousand,せん | ち,2,N5,1,N5_V180
N5_K071,校,school,こう,1,N5,6,N5_V014 N5_V015 N5_V017 N5_V019 N5_V020 N5_V022
N5_K072,右,right,う | ゆう | みぎ,3,N5,2,N5_V176 N5_V177
N5_K073,南,south,なん | みなみ,2,N5,2,N5_V172 N5_V175
N5_K074,左,left,さ | ひだり,2,N5,2,N5_V176 N5_V178
N5_K075,友,friend,ゆう | とも,2,N5,2,N5_V119 N5_V120
N5_K076,火,fire,か | ひ,2,N5,2,N5_V162 N5_V204
N5_K077,毎,every,まい,1,N5,6,N5_V053 N5_V054 N5_V055 N5_V056 N5_V057 N5_V058
N5_K078,雨,rain,う | あめ,2,N5,1,N5_V159
N5_K079,休,rest; holiday,きゅう | やすむ | やすまる | やすめる,4,N5,1,N5_V207
N5_K080,午,noon,ご,1,N5,3,N5_V045 N5_V046 N5_V047
N4_K001,言,say; word; speech,げん | ごん | いう | こと,4,N4,2,N4_V001 N4_V002
N4_K002,手,hand,しゅ | て,2,N4,4,N4_V003 N4_V004 N4_V154 N4_V323
N4_K003,自,self; oneself,じ | し | みずから,3,N4,3,N4_V005 N4_V006 N4_V105
N4_K004,者,person; someone,しゃ | もの,2,N4,4,N4_V007 N4_V008 N4_V170 N4_V347
N4_K005,事,thing; matter; event,じ | こと,2,N4,5,N4_V009 N4_V010 N4_V016 N4_V145 N4_V299
N4_K006,思,think; thought,し | おもう,2,N4,2,N4_V011 N4_V012
N4_K007,会,meet; meeting,かい | え | あう,3,N4,8,N4_V013 N4_V014 N4_V015 N4_V122 N4_V260 N4_V282 N4_V310 N4_V333
N4_K008,家,house; home; family,か | け | いえ | や,4,N4,5,N4_V016 N4_V017 N4_V018 N4_V393 N4_V413
N4_K009,的,target; -like; adjectival suffix,てき | まと,2,N4,3,N4_V019 N4_V020 N4_V114
N4_K010,方,direction; way; person (polite),ほう | かた,2,N4,9,N4_V021 N4_V022 N4_V023 N4_V025 N4_V118 N4_V140 N4_V179 N4_V181 N4_V184
N4_K011,地,ground; land; place,ち | じ,2,N4,4,N4_V024 N4_V025 N4_V026 N4_V201
N4_K012,目,eye; item; order,もく | め,2,N4,5,N4_V019 N4_V027 N4_V028 N4_V114 N4_V137
N4_K013,場,place; location,じょう | ば,2,N4,5,N4_V015 N4_V029 N4_V030 N4_V036 N4_V234
N4_K014,代,generation; substitute; fee,だい | たい | かわる | かえる | よ | しろ,6,N4,6,N4_V031 N4_V032 N4_V033 N4_V068 N4_V127 N4_V251
N4_K015,私,I; private,し | わたくし | わたし,3,N4,2,N4_V034 N4_V035
N4_K016,立,stand; establish,りつ | たつ | たてる,3,N4,4,N4_V034 N4_V036 N4_V037 N4_V165
N4_K017,物,thing; object,ぶつ | もつ | もの,3,N4,5,N4_V038 N4_V039 N4_V040 N4_V194 N4_V286
N4_K018,田,rice field,でん | た,2,N4,2,N4_V041 N4_V042
N4_K019,体,body; form,たい | てい | からだ,3,N4,7,N4_V043 N4_V044 N4_V045 N4_V103 N4_V156 N4_V334 N4_V353
N4_K020,動,move; motion,どう | うごく | うごかす,3,N4,4,N4_V005 N4_V038 N4_V046 N4_V216
N4_K021,社,company; shrine; society,しゃ | やしろ,2,N4,3,N4_V013 N4_V047 N4_V048
N4_K022,知,know; knowledge,ち | しる,2,N4,3,N4_V049 N4_V050 N4_V051
N4_K023,理,reason; logic,り,1,N4,3,N4_V052 N4_V053 N4_V143
N4_K024,同,same,どう | おなじ,2,N4,2,N4_V054 N4_V055
N4_K025,心,heart; mind,しん | こころ,2,N4,3,N4_V056 N4_V057 N4_V058
N4_K026,発,depart; emit; start,はつ | ほつ,2,N4,7,N4_V002 N4_V059 N4_V060 N4_V061 N4_V073 N4_V120 N4_V255
N4_K027,作,make; create,さく | さ | つくる,3,N4,5,N4_V004 N4_V007 N4_V018 N4_V062 N4_V063
N4_K028,新,new,しん | あたらしい | あらた | にい,4,N4,3,N4_V064 N4_V065 N4_V321
N4_K029,世,world; generation,せい | せ | よ,3,N4,3,N4_V066 N4_V067 N4_V068
N4_K030,度,degree; time; occurrence,ど | たび,2,N4,3,N4_V069 N4_V070 N4_V071
N4_K031,明,bright; clear,めい | みょう | あかり | あかるい | あかるむ | あからむ | あきらか | あける | あく | あくる | あかす,11,N4,4,N4_V072 N4_V073 N4_V074 N4_V362
N4_K032,力,power; strength,りょく | りき | ちから,3,N4,5,N4_V043 N4_V075 N4_V076 N4_V077 N4_V176
N4_K033,意,idea; intention; meaning,い,1,N4,6,N4_V012 N4_V055 N4_V078 N4_V079 N4_V080 N4_V233
N4_K034,用,use; business,よう | もちいる,2,N4,6,N4_V009 N4_V035 N4_V080 N4_V081 N4_V082 N4_V320
N4_K035,主,main; master; owner,しゅ | ぬし | おも,3,N4,3,N4_V083 N4_V084 N4_V085
N4_K036,通,pass through; commute; communicate,つう | とおる | とおす | かよう,4,N4,4,N4_V051 N4_V086 N4_V087 N4_V088
N4_K037,文,sentence; writing; culture,ぶん | もん | ふみ,3,N4,7,N4_V063 N4_V089 N4_V090 N4_V297 N4_V309 N4_V326 N4_V408
N4_K038,屋,shop; roof; room,おく | や,2,N4,4,N4_V091 N4_V092 N4_V093 N4_V389
N4_K039,業,business; work; industry,ぎょう | ごう | わざ,3,N4,4,N4_V094 N4_V095 N4_V096 N4_V141
N4_K040,持,hold; have,じ | もつ,2,N4,3,N4_V097 N4_V098 N4_V099
N4_K041,道,road; way,どう | みち,2,N4,5,N4_V100 N4_V101 N4_V102 N4_V328 N4_V360
N4_K042,身,body; oneself,しん | み,2,N4,3,N4_V103 N4_V104 N4_V105
N4_K043,不,not; un-; non-,ふ | ぶ,2,N4,3,N4_V106 N4_V107 N4_V108
N4_K044,口,mouth; opening,こう | く | くち,3,N4,5,N4_V109 N4_V110 N4_V111 N4_V231 N4_V276
N4_K045,多,many; much,た | おおい,2,N4,4,N4_V112 N4_V113 N4_V114 N4_V148
N4_K046,野,field; area,や | の,2,N4,5,N4_V115 N4_V116 N4_V117 N4_V381 N4_V385
N4_K047,考,think; consider,こう | かんがえる,2,N4,3,N4_V011 N4_V118 N4_V119
N4_K048,開,open,かい | ひらく | ひらける | あく | あける,5,N4,3,N4_V120 N4_V121 N4_V253
N4_K049,教,teach; religion,きょう | おしえる | おそわる,3,N4,3,N4_V122 N4_V123 N4_V124
N4_K050,近,near; recent,きん | ちかい,2,N4,3,N4_V125 N4_V126 N4_V127
N4_K051,以,by means of; from; compared with,い,1,N4,3,N4_V128 N4_V129 N4_V130
N4_K052,問,question; ask; problem,もん | とう | とい,3,N4,3,N4_V131 N4_V132 N4_V133
N4_K053,正,correct; proper,せい | しょう | ただしい | ただす | まさ,5,N4,3,N4_V134 N4_V135 N4_V136
N4_K054,真,true; real,しん | ま,2,N4,2,N4_V137 N4_V138
N4_K055,味,taste; meaning,み | あじ | あじわう,3,N4,2,N4_V139 N4_V140
N4_K056,界,world; boundary,かい,1,N4,3,N4_V066 N4_V141 N4_V142
N4_K057,無,nothing; without,む | ぶ | ない,3,N4,3,N4_V143 N4_V144 N4_V145
N4_K058,少,few; little,しょう | すくない | すこし,3,N4,3,N4_V146 N4_V147 N4_V148
N4_K059,海,sea; ocean,かい | うみ,2,N4,3,N4_V149 N4_V150 N4_V151
N4_K060,切,cut; important,せつ | きる | きれる,3,N4,3,N4_V152 N4_V153 N4_V154
N4_K061,重,heavy; important; overlap,じゅう | ちょう | え | おもい | かさねる | かさなる,6,N4,3,N4_V155 N4_V156 N4_V157
N4_K062,集,gather; collect,しゅう | あつまる | あつめる | つどう,4,N4,3,N4_V158 N4_V159 N4_V160
N4_K063,員,member; employee,いん,1,N4,3,N4_V161 N4_V162 N4_V163
N4_K064,公,public; official,こう | おおやけ,2,N4,3,N4_V121 N4_V164 N4_V165
N4_K065,画,picture; plan; stroke,が | かく,2,N4,3,N4_V166 N4_V167 N4_V168
