id,word,reading,english_meaning,study_level,kanji_components,component_levels
N2_V001,軍事,ぐんじ,military affairs,N2,軍 事,N2 N4
N2_V002,兵力,へいりょく,military strength,N2,兵 力,N2 N4
N2_V003,島国,しまぐに,island country,N2,島 国,N2 N5
N2_V004,村人,むらびと,villager,N2,村 人,N2 N5
N2_V005,正門,せいもん,main gate,N2,正 門,N4 N2
N2_V006,雨戸,あまど,storm shutter,N2,雨 戸,N5 N2
N2_V007,武力,ぶりょく,military force,N2,武 力,N2 N4
N2_V008,城内,じょうない,inside a castle,N2,城 内,N2 N3
N2_V009,総合,そうごう,overall; comprehensive,N2,総 合,N2 N3
N2_V010,団体,だんたい,group; organization,N2,団 体,N2 N4
N2_V011,路線,ろせん,route; railway line,N2,路 線,N3 N2
N2_V012,設定,せってい,setting; establishment,N2,設 定,N2 N3
N2_V013,勢力,せいりょく,influence; power,N2,勢 力,N2 N4
N2_V014,政党,せいとう,political party,N2,政 党,N3 N2
N2_V015,歴史,れきし,history,N2,歴 史,N2 N2
N2_V016,政府,せいふ,government,N2,政 府,N3 N2
N2_V017,巻物,まきもの,scroll,N2,巻 物,N2 N4
N2_V018,紹介,しょうかい,introduction,N2,紹 介,N2 N2
N2_V019,冷蔵,れいぞう,refrigeration; cold storage,N2,冷 蔵,N3 N2
N2_V020,造船,ぞうせん,shipbuilding,N2,造 船,N2 N3
N2_V021,根本,こんぽん,root; basis; fundamental,N2,根 本,N2 N5
N2_V022,寺院,じいん,Buddhist temple; temple institution,N2,寺 院,N2 N4
N2_V023,調査,ちょうさ,investigation; survey,N2,調 査,N3 N2
N2_V024,将来,しょうらい,future,N2,将 来,N2 N5
N2_V025,改正,かいせい,revision; amendment,N2,改 正,N2 N4
N2_V026,県内,けんない,within the prefecture,N2,県 内,N2 N3
N2_V027,温泉,おんせん,hot spring,N2,温 泉,N2 N2
N2_V028,映像,えいぞう,image; video,N2,映 像,N4 N2
N2_V029,細部,さいぶ,details; fine parts,N2,細 部,N2 N3
N2_V030,谷間,たにま,valley; ravine,N2,谷 間,N2 N5
N2_V031,奥地,おくち,interior; remote area,N2,奥 地,N2 N4
N2_V032,再開,さいかい,reopening; resumption,N2,再 開,N2 N4
N2_V033,出血,しゅっけつ,bleeding,N2,出 血,N5 N2
N2_V034,計算,けいさん,calculation,N2,計 算,N4 N2
N2_V035,対象,たいしょう,target; object; subject,N2,対 象,N3 N2
N2_V036,清水,しみず,clear water,N2,清 水,N2 N5
N2_V037,技術,ぎじゅつ,technology; skill,N2,技 術,N2 N3
N2_V038,本州,ほんしゅう,Honshu,N2,本 州,N5 N2
N2_V039,領土,りょうど,territory,N2,領 土,N2 N5
N2_V040,鉄橋,てっきょう,iron bridge; railway bridge,N2,鉄 橋,N2 N2
N2_V041,芸術,げいじゅつ,art; the arts,N2,芸 術,N2 N3
N2_V042,大型,おおがた,large-sized,N2,大 型,N5 N2
N2_V043,香水,こうすい,perfume,N2,香 水,N2 N5
N2_V044,数量,すうりょう,quantity; amount,N2,数 量,N3 N2
N2_V045,永久,えいきゅう,eternity; permanence,N2,永 久,N2 N2
N2_V046,国境,こっきょう,national border,N2,国 境,N5 N2
N2_V047,階段,かいだん,stairs; staircase,N2,階 段,N2 N3
N2_V048,地区,ちく,district; area,N2,地 区,N4 N2
N2_V049,電波,でんぱ,radio wave; signal,N2,電 波,N5 N2
N2_V050,移動,いどう,movement; transfer,N2,移 動,N2 N4
N2_V051,地域,ちいき,region; area,N2,地 域,N4 N2
N2_V052,周辺,しゅうへん,surroundings; vicinity,N2,周 辺,N2 N2
N2_V053,接続,せつぞく,connection,N2,接 続,N2 N3
N2_V054,鉄道,てつどう,railway,N2,鉄 道,N2 N4
N2_V055,近頃,ちかごろ,recently; nowadays,N2,近 頃,N4 N2
N2_V056,教材,きょうざい,teaching material,N2,教 材,N4 N2
N2_V057,個人,こじん,individual; private person,N2,個 人,N2 N5
N2_V058,協定,きょうてい,agreement; pact,N2,協 定,N2 N3
N2_V059,各国,かっこく,each country; various countries,N2,各 国,N2 N5
N2_V060,地帯,ちたい,zone; area,N2,地 帯,N4 N2
N2_V061,学歴,がくれき,educational background,N2,学 歴,N5 N2
N2_V062,編集,へんしゅう,editing; compilation,N2,編 集,N2 N4
N2_V063,裏面,りめん,reverse side; back,N2,裏 面,N2 N3
N2_V064,対比,たいひ,contrast; comparison,N2,対 比,N3 N2
N2_V065,坂道,さかみち,sloping road; hill road,N2,坂 道,N2 N4
N2_V066,省略,しょうりゃく,omission; abbreviation,N2,省 略,N2 N2
N2_V067,税金,ぜいきん,tax; taxes,N2,税 金,N2 N5
N2_V068,競争,きょうそう,competition,N2,競 争,N2 N3
N2_V069,周囲,しゅうい,surroundings; circumference,N2,周 囲,N2 N2
N2_V070,海辺,うみべ,seaside; beach area,N2,海 辺,N4 N2
N2_V071,河川,かせん,rivers,N2,河 川,N2 N5
N2_V072,南極,なんきょく,South Pole; Antarctica,N2,南 極,N5 N2
N2_V073,防止,ぼうし,prevention,N2,防 止,N2 N4
N2_V074,低下,ていか,decline; fall,N2,低 下,N2 N5
N2_V075,山林,さんりん,mountain forest,N2,山 林,N5 N2
N2_V076,指導,しどう,guidance; instruction,N2,指 導,N3 N2
N2_V077,森林,しんりん,forest; woods,N2,森 林,N2 N2
N2_V078,丸太,まるた,log,N2,丸 太,N2 N3
N2_V079,胸部,きょうぶ,chest; thorax,N2,胸 部,N2 N3
N2_V080,大陸,たいりく,continent,N2,大 陸,N5 N2
N2_V081,治療,ちりょう,medical treatment,N2,治 療,N3 N2
N2_V082,諸国,しょこく,various countries,N2,諸 国,N2 N5
N2_V083,管理,かんり,management; control,N2,管 理,N2 N4
N2_V084,仲間,なかま,companion; colleague; group,N2,仲 間,N2 N5
N2_V085,改革,かいかく,reform,N2,改 革,N2 N2
N2_V086,担当,たんとう,being in charge; responsibility,N2,担 当,N2 N3
N2_V087,効果,こうか,effect; effectiveness,N2,効 果,N2 N3
N2_V088,賞金,しょうきん,prize money,N2,賞 金,N2 N5
N2_V089,星座,せいざ,constellation,N2,星 座,N2 N3
N2_V090,復習,ふくしゅう,review; revision,N2,復 習,N2 N4
N2_V091,片方,かたほう,one side; one of a pair,N2,片 方,N2 N4
N2_V092,並列,へいれつ,parallel; arrangement side by side,N2,並 列,N2 N3
N2_V093,海底,かいてい,seabed; ocean floor,N2,海 底,N4 N2
N2_V094,軽量,けいりょう,lightweight,N2,軽 量,N2 N2
N2_V095,記録,きろく,record; documentation,N2,記 録,N3 N2
N2_V096,腰痛,ようつう,lower back pain,N2,腰 痛,N2 N3
N2_V097,著者,ちょしゃ,author,N2,著 者,N2 N4
N2_V098,混乱,こんらん,confusion; disorder,N2,混 乱,N2 N2
N2_V099,神殿,しんでん,temple; sanctuary,N2,神 殿,N3 N2
N2_V100,毛布,もうふ,blanket,N2,毛 布,N2 N2
N2_V101,角度,かくど,angle,N2,角 度,N2 N4
N2_V102,仏教,ぶっきょう,Buddhism,N2,仏 教,N2 N4
N2_V103,永遠,えいえん,eternity; forever,N2,永 遠,N2 N3
N2_V104,雑誌,ざっし,magazine,N2,雑 誌,N3 N2
N2_V105,減少,げんしょう,decrease; reduction,N2,減 少,N2 N4
N2_V106,略語,りゃくご,abbreviation,N2,略 語,N2 N5
N2_V107,準備,じゅんび,preparation,N2,準 備,N2 N3
N2_V108,委員,いいん,committee member,N2,委 員,N2 N4
N2_V109,命令,めいれい,order; command,N2,命 令,N3 N2
N2_V110,週刊,しゅうかん,weekly publication,N2,週 刊,N4 N2
N2_V111,焼肉,やきにく,grilled meat,N2,焼 肉,N2 N4
N2_V112,里帰り,さとがえり,returning to one's hometown,N2,里 帰,N2 N4
N2_V113,圧力,あつりょく,pressure,N2,圧 力,N2 N4
N2_V114,金額,きんがく,amount of money,N2,金 額,N5 N2
N2_V115,印象,いんしょう,impression,N2,印 象,N2 N2
N2_V116,電池,でんち,battery,N2,電 池,N5 N2
N2_V117,大臣,だいじん,cabinet minister,N2,大 臣,N5 N2
N2_V118,車庫,しゃこ,garage,N2,車 庫,N5 N2
N2_V119,農業,のうぎょう,agriculture,N2,農 業,N2 N4
N2_V120,恋愛,れんあい,romantic love,N2,恋 愛,N2 N3
N2_V121,羽毛,うもう,feathers; down,N2,羽 毛,N2 N2
N2_V122,専門,せんもん,specialty; field of expertise,N2,専 門,N2 N2
N2_V123,逆転,ぎゃくてん,reversal; turnaround,N2,逆 転,N2 N4
N2_V124,腕力,わんりょく,physical strength,N2,腕 力,N2 N4
N2_V125,短期,たんき,short term,N2,短 期,N2 N3
N2_V126,岩石,がんせき,rock; stone,N2,岩 石,N2 N3
N2_V127,竹林,ちくりん,bamboo grove,N2,竹 林,N2 N2
N2_V128,児童,じどう,child; schoolchild,N2,児 童,N2 N2
N2_V129,毛皮,けがわ,fur; pelt,N2,毛 皮,N2 N2
N2_V130,出版,しゅっぱん,publication; publishing,N2,出 版,N5 N2
N2_V131,宇内,うだい,the whole world; the universe,N2,宇 内,N2 N3
N2_V132,状況,じょうきょう,situation; circumstances,N2,状 況,N3 N2
N2_V133,被害,ひがい,damage; harm,N2,被 害,N2 N3
N2_V134,超過,ちょうか,excess; exceeding,N2,超 過,N2 N3
N2_V135,豊富,ほうふ,abundant; plentiful,N2,豊 富,N2 N3
N2_V136,含有,がんゆう,containment; containing,N2,含 有,N2 N4
N2_V137,植物,しょくぶつ,plant; vegetation,N2,植 物,N2 N4
N2_V138,補助,ほじょ,assistance; supplement,N2,補 助,N2 N3
N2_V139,暴力,ぼうりょく,violence,N2,暴 力,N2 N4
N2_V140,課題,かだい,task; issue; assignment,N2,課 題,N2 N4
N2_V141,足跡,あしあと,footprint; trace,N2,足 跡,N4 N2
N2_V142,接触,せっしょく,contact; touch,N2,接 触,N2 N2
N2_V143,目玉,めだま,eyeball; featured attraction,N2,目 玉,N4 N2
N2_V144,地震,じしん,earthquake,N2,地 震,N4 N2
N2_V145,一億,いちおく,one hundred million,N2,一 億,N5 N2
N2_V146,肩書,かたがき,title; position,N2,肩 書,N2 N5
