id,kanji,english_meaning,introduced_level,compound_count,compound_refs
N5_K001,人,person; human,N5,16,N5_V002 N5_V005 N5_V008 N5_V010 N5_V098 N5_V099 N5_V100 N5_V101 N5_V102 N5_V103 N5_V104 N5_V105 N5_V106 N5_V107 N5_V108 N5_V120
N5_K002,一,one,N5,12,N5_V042 N5_V071 N5_V082 N5_V092 N5_V098 N5_V181 N5_V184 N5_V193 N5_V208 N5_V210 N5_V212 N5_V213
N5_K003,日,day; sun,N5,29,N5_V001 N5_V002 N5_V003 N5_V048 N5_V049 N5_V050 N5_V055 N5_V070 N5_V071 N5_V072 N5_V073 N5_V074 N5_V075 N5_V076 N5_V077 N5_V078 N5_V079 N5_V080 N5_V081 N5_V162 N5_V163 N5_V164 N5_V165 N5_V166 N5_V167 N5_V168 N5_V169 N5_V198 N5_V207
N5_K004,大,big; large,N5,6,N5_V010 N5_V011 N5_V012 N5_V159 N5_V160 N5_V187
N5_K005,年,year,N5,11,N5_V058 N5_V065 N5_V066 N5_V067 N5_V068 N5_V095 N5_V121 N5_V122 N5_V197 N5_V212 N5_V213
N5_K006,出,exit; go out; come out,N5,2,N5_V124 N5_V125
N5_K007,本,book; origin; main,N5,4,N5_V001 N5_V002 N5_V003 N5_V194
N5_K008,中,middle; inside,N5,5,N5_V007 N5_V008 N5_V009 N5_V017 N5_V018
N5_K009,子,child,N5,4,N5_V109 N5_V110 N5_V111 N5_V112
N5_K010,見,see; look,N5,1,N5_V203
N5_K011,国,country,N5,7,N5_V004 N5_V005 N5_V006 N5_V007 N5_V008 N5_V009 N5_V201
N5_K012,上,up; above; top,N5,2,N5_V121 N5_V191
N5_K013,分,part; minute; divide; understand,N5,3,N5_V097 N5_V183 N5_V186
N5_K014,生,life; birth; live,N5,8,N5_V012 N5_V013 N5_V016 N5_V018 N5_V020 N5_V021 N5_V023 N5_V198
N5_K015,行,go; carry out; line,N5,2,N5_V132 N5_V139
N5_K016,二,two,N5,7,N5_V043 N5_V072 N5_V083 N5_V093 N5_V099 N5_V209 N5_V211
N5_K017,間,interval; between; space,N5,6,N5_V041 N5_V042 N5_V043 N5_V044 N5_V208 N5_V209
N5_K018,時,time; hour,N5,5,N5_V041 N5_V042 N5_V043 N5_V044 N5_V096
N5_K019,気,spirit; feeling; air,N5,4,N5_V152 N5_V156 N5_V157 N5_V158
N5_K020,十,ten,N5,5,N5_V080 N5_V091 N5_V092 N5_V093 N5_V107
N5_K021,女,woman; female,N5,3,N5_V109 N5_V111 N5_V113
N5_K022,三,three,N5,3,N5_V073 N5_V084 N5_V100
N5_K023,前,front; before,N5,4,N5_V032 N5_V045 N5_V126 N5_V212
N5_K024,入,enter; put in,N5,3,N5_V024 N5_V123 N5_V125
N5_K025,小,small,N5,3,N5_V015 N5_V016 N5_V205
N5_K026,後,after; behind,N5,2,N5_V046 N5_V213
N5_K027,長,long; leader; chief,N5,1,N5_V022
N5_K028,下,down; below,N5,3,N5_V122 N5_V155 N5_V192
N5_K029,学,study; learning,N5,12,N5_V011 N5_V012 N5_V013 N5_V014 N5_V015 N5_V016 N5_V017 N5_V018 N5_V023 N5_V024 N5_V202 N5_V203
N5_K030,月,month; moon,N5,21,N5_V057 N5_V062 N5_V063 N5_V064 N5_V069 N5_V082 N5_V083 N5_V084 N5_V085 N5_V086 N5_V087 N5_V088 N5_V089 N5_V090 N5_V091 N5_V092 N5_V093 N5_V094 N5_V168 N5_V210 N5_V211
N5_K031,何,what; how many,N5,7,N5_V081 N5_V094 N5_V095 N5_V096 N5_V097 N5_V108 N5_V169
N5_K032,来,come; next,N5,3,N5_V060 N5_V063 N5_V066
N5_K033,話,talk; story; conversation,N5,3,N5_V035 N5_V036 N5_V037
N5_K034,山,mountain,N5,1,N5_V204
N5_K035,高,high; expensive,N5,2,N5_V019 N5_V020
N5_K036,今,now; present,N5,6,N5_V048 N5_V051 N5_V052 N5_V059 N5_V062 N5_V065
N5_K037,書,write; writing; book,N5,3,N5_V029 N5_V030 N5_V031
N5_K038,五,five,N5,3,N5_V075 N5_V086 N5_V102
N5_K039,名,name; reputation,N5,2,N5_V032 N5_V189
N5_K040,金,gold; money; metal,N5,1,N5_V165
